/*
LTJS
NOLF2 CRES
English strings
*/

100 "SCMD login successful."
101 "Admin already logged into SCMD."
102 "Incorrect SCMD password."
103 "Logged out of SCMD."
104 "Not logged into SCMD."
105 "SCMD Commands:"
106 "HELP - List all available SCMD commands."
107 "LOGOUT - Logs out as SCMD Administrator."
108 "LOGIN <password> - Logs in as SCMD Administrator."
109 "Client List format: ClientId) [name][ping][IP]"
110 "No clients."
111 "LISTCLIENTS - Displays list of clients."
113 "NEXTMISSION - Go to next mission in mission list."
114 "NEXTROUND - Go to next round for this level."
115 "SCMD Command failed."
116 "BOOTNAME <playername> - Boots client by player name."
117 "BOOTID <clientid> - Boots client by client id."
118 "Mission List format: mission_index) [mission][*]"
119 "SCMD Command successful."
120 "LISTMISSIONS - Lits all missions in current campaign."
121 "SETMISSION <mission_index> - Advances campaign to mission_index."
122 "ADDBAN <IP> - Adds IP to ban list (e.g. 123.456.789.012 or 123.456.*)"
123 "REMOVEBAN <banid> - Removes IP from ban list by banid."
124 "LISTBANS - Lists all current banned IP's."
125 "Banned IP List format: banid) [IP]"
126 "No IP Bans."
127 "BANCLIENT <clientid> - Bans client by client id."
128 "Cooperative"
129 "Deathmatch"
130 "Score limit"
131 "Time limit"
132 "Run speed"
133 "Friendly fire"
134 "Difficulty"
135 "Player difficulty factor"
136 "No Game Options available."
137 "LISTGAMEOPTIONS - Lists game options."
138 "Game Options List format: optionid) [option][value]"
139 "SETGAMEOPTION <optionid> <value> - Sets game option by optionid."
140 "Team Deathmatch"
141 "Doomsday"
142 "Rounds"
502 "SINGLE PLAYER"
503 "DIFFICULTY"
504 "OPTIONS"
505 "NEW GAME"
506 "LOAD GAME"
507 "SAVE GAME"
508 "CUSTOM LEVELS"
509 "DISPLAY OPTIONS"
510 "TEXTURE RESOLUTION"
511 "PERFORMANCE"
512 "SOUND"
513 "KEYBOARD"
514 "MOUSE"
515 "JOYSTICK"
516 "MISSION"
517 "No maps available for this game mode."
518 "MISSION SUMMARY"
519 "PLAYER PROFILE"
520 "PLAYER"
521 "CROSSHAIR"
522 "CONTROLS"
523 "CONFIGURE CONTROLS"
524 "MULTIPLAYER"
525 "GAME OPTIONS"
526 "SKILLS"
527 "MISSION OBJECTIVES"
528 "GAME OPTIONS"
529 "EQUIPMENT"
530 "ADVANCED DISPLAY OPTIONS"
531 "SPECIAL EFFECTS"
532 "JOIN GAME"
533 "HOST GAME"
534 "MISSIONS"
535 "PLAYER SETUP"
536 "PLAYER"
537 "Chapter list"
538 "INTELLIGENCE"
539 "CAMPAIGN"
540 "SYSTEM"
541 "INVENTORY"
542 "NOLF2 Team Deathmatch"
543 "Multiplayer (LAN)"
544 "NOLF2 Doomsday"
545 "Start a LAN multiplayer game or set multiplayer options."
546 "TEAM SETUP"
547 "Replay a chapter."
548 "Set the name of the team."
549 "Replay the highlighted chapter."
550 "Press F9 to QuickLoad.\nPress any other key to go to the Load Screen"
551 "Press any key to continue."
552 "Normal"
553 "Test Settings"
554 "Custom"
555 "On"
556 "Off"
557 "Yes"
558 "No"
559 "None"
560 "Few"
561 "Some"
562 "Lots"
563 "All"
564 "Close"
565 "   -   "
566 "Back"
567 "Create"
568 "Load"
569 "Delete"
570 "OK"
571 "Cancel"
572 "Enter a name for this game:"
573 "Next"
574 "[Empty slot]"
575 "Wheel Up"
576 "Wheel Down"
577 "Rank:"
578 "Skill Points:"
579 "Single player"
580 "Multiplayer (Internet)"
581 "Options"
582 "Credits"
583 "Quit"
584 "New game"
585 "Load game"
586 "Save game"
587 "Custom level"
588 "Display"
589 "Sound"
590 "Keyboard"
591 "Mouse"
592 "Configure joystick/gamepad"
593 "Restore defaults"
594 "Configure controls"
595 "Briefing:"
596 "Objectives:"
597 "Normal turn speed"
598 "Fast turn speed"
599 "Up/down look speed"
600 "Start mission"
601 "Opacity"
602 "Red"
603 "Green"
604 "Blue"
605 "Style"
606 "Basic"
607 "Crossbar"
608 "Dot-cross"
609 "Post"
610 "Dot"
611 "Corner"
612 "Dynamic scaling"
613 "Crosshair"
614 "Profile"
615 "Choose, create, or delete player profiles."
616 "56k"
617 "Cable"
618 "Team name"
619 "DSL (High)"
620 "T1"
621 "T3"
622 "Bandwidth"
623 "Cycle bandwidth setting"
624 "Score:"
625 "Specify a custom bandwidth"
626 "Bandwidth (custom)"
627 "Profiles:"
628 "Resume game"
629 "Continue game"
630 "Team model"
631 "Gamma"
632 "Head bob"
633 "Weapon sway"
634 "Sets the intensity of the simulated head movement while walking."
635 "Sets the intensity of the simulated weapon movement while walking."
636 "Sets the length of time that messages will remain on the screen."
637 "Message duration"
638 "Ignore taunts"
639 "Toggle the use of audio taunts."
640 "Audio taunts"
641 "Toggle the use of audio taunts."
642 "Rename"
643 "Version:"
644 "Main menu"
645 "Adjust the gamma level of the display."
646 "Start, load, or save a single player game."
647 "Start an internet multiplayer game or set multiplayer options."
648 "Set display, sound, control, game, and performance options."
649 "Leave the game."
650 "Start a new game."
651 "Load a saved game."
652 "Save the current game."
653 "Load a custom level."
654 "Create a new profile."
655 "Return to the previous screen."
656 "Set the game difficulty."
657 "Set display options."
658 "Set audio options."
659 "Set controller configurations."
660 "Choose renderer."
661 "Set screen resolution and bit depth."
662 "Toggle full screen anti-aliasing."
663 "Set preset texture detail settings."
664 "Set display options that may affect performance."
665 "Automatically center view when you move."
666 "Toggle run as the default movement."
667 "Toggle use of crosshair."
668 "Toggle the use of blood effects."
669 "Set the level of detail for character shadows."
670 "Set the model used for the team."
671 "Campaign"
672 "Blue team"
673 "Choose the multiplayer campaign to host."
674 "Detail textures"
675 "Toggle the use of detail textures."
676 "Environment map"
677 "Toggle the use of environment maps."
678 "Dynamic lights"
679 "Toggles the use of dynamic lights."
680 "Triple buffering"
681 "Toggle the use of triple buffering."
682 "Press Enter or click the left mouse button to set a control for this action."
683 "Assign keyboard, mouse, and game controller actions."
684 "Set mouse configuration options."
685 "Set joystick or gamepad configuration options."
686 "Set advanced controls options."
687 "Restore controls to default values."
688 "Toggle playing of sound effects."
689 "Set volume of sound effects."
690 "Set quality of sound effects. This may affect performance."
691 "Toggle playing of music."
692 "Set volume of music."
693 "Load the highlighted custom level."
694 "Toggle use of joystick or gamepad."
695 "Toggle inversion on this axis."
696 "Set the dead zone for this axis."
697 "Toggle between analog and digital."
698 "Set the sensitivity of the joystick on this axis."
699 "Toggle use of center correction."
700 "Toggle inversion of the mouse."
701 "Toggle use of mouse to look."
702 "Set sensitivity of the mouse."
703 "Set how much the mouse movement is smoothed."
704 "Set the action assigned to this button."
