/*
LTJS
NOLF2 CRES
Spanish strings
*/

100 "Registro del SCMD realizado correctamente."
101 "El adminstrador ya está registrado en el SCMD."
102 "Contraseña de SCMD incorrecta."
103 "Has salido de SCMD."
104 "No te has registrado en SCMD."
105 "Comandos de SCMD:"
106 "HELP: lista de todos los comandos de SCMD."
107 "LOGOUT: el administrador sale de SCMD."
108 "LOGIN <contraseña>: registrarse como adminstrador de SCMD."
109 "Formato de la lista de clientes: id del cliente) [nombre][ping][IP]"
110 "No hay clientes."
111 "LISTCLIENTS: muestra la lista de clientes."
113 "NEXTMISSION: va a la siguiente misión de la lista."
114 "NEXTROUND: pasa a la siguiente ronda de este nivel."
115 "Error en el comando de SCMD."
116 "BOOTNAME <nombre del jugador>: inicia al cliente por el nombre de jugador."
117 "BOOTID <id del cliente>: inicia al cliente por la id de cliente."
118 "Formato de la lista de misiones: mission_index) [misión][*]"
119 "Comando SCMD correcto."
120 "LISTMISSIONS: lista todas las misiones de la campaña actual."
121 "SETMISSION <índice de misiones>: Avanza la campaña hasta el índice de misiones."
122 "ADDBAN <IP>: añade IP a la lista IP prohibidas (p.ej., 123.456.789.012 o 123.456.*)"
123 "REMOVEBAN <id de prohibición>: Quita IP de la lista de IP prohibidas."
124 "LISTBANS: lista todas las IP prohibidas."
125 "Formato de la lista de IP prohibidas: id prohibición) [IP]"
126 "No hay prohibición de ningún IP."
127 "BANCLIENT <id del cliente>: prohibir cliente por id de cliente."
128 "Partida cooperativa"
129 "Combate a muerte"
130 "Límite de puntos"
131 "Límite de tiempo"
132 "Velocidad de ejecución"
133 "Fuego amistoso"
134 "Dificultad"
135 "Dificultad por jugador"
136 "No hay ninguna opción de juego disponible."
137 "LISTGAMEOPTIONS: lista de las opciones del juego."
138 "Formato de la lista de opciones del juego: id de la opción) [opción][valor]"
139 "SETGAMEOPTION <id de la opción> <valor>: establece la opción del juego por la id de la opción."
140 "Combate a muerte en equipo"
141 "Día del juicio final"
142 "Rondas"
502 "UN SOLO JUGADOR"
503 "DIFICULTAD"
504 "OPCIONES"
505 "PARTIDA NUEVA"
506 "CARGAR PARTIDA"
507 "GUARDAR PARTIDA"
508 "PERSONALIZAR NIVELES"
509 "OPCIONES DE PANTALLA"
510 "RESOLUCIÓN DE TEXTURA"
511 "RENDIMIENTO"
512 "SONIDO"
513 "TECLADO"
514 "RATÓN"
515 "JOYSTICK"
516 "MISIÓN"
517 "No hay mapas disponibles para este modo de juego."
518 "RESUMEN DE LA MISIÓN"
519 "PERFIL DEL JUGADOR"
520 "JUGADOR"
521 "PUNTO DE MIRA"
522 "CONTROLES"
523 "CONFIGURAR CONTROLES"
524 "MULTIJUGADOR"
525 "OPCIONES DE LA PARTIDA"
526 "HABILIDADES"
527 "OBJETIVOS DE LA MISIÓN"
528 "OPCIONES DE LA PARTIDA"
529 "EQUIPO"
530 "OPCIONES AVANZADAS DE PANTALLA"
531 "EFECTOS ESPECIALES"
532 "UNIRSE A LA PARTIDA"
533 "ALOJAR PARTIDA"
534 "MISIONES"
535 "CONFIGURACIÓN DEL JUGADOR"
536 "JUGADOR"
537 "Lista de capítulos"
538 "INTELIGENCIA"
539 "CAMPAÑA"
540 "SISTEMA"
541 "INVENTARIO"
542 "Cmbt. a mrte. en equipo"
543 "Multijugador (LAN)"
544 "Día del juicio final"
545 "Iniciar una partida multijugador en una LAN o establecer las opciones multijugador."
546 "CONFIGURACIÓN DEL EQUIPO"
547 "Volver a jugar un capítulo."
548 "Establecer el nombre del equipo."
549 "Volver a jugar el capítulo resaltado."
550 "Pulsa F9 para Carga rápida.\nPulsa cualquier otra tecla para ir a la Pantalla de carga."
551 "Pulsa cualquier tecla para continuar."
552 "Normal"
553 "Prueba de configuración"
554 "Personalizar"
555 "Activado"
556 "Desactivado"
557 "Sí"
558 "No "
559 "Ninguno"
560 "Pocos"
561 "Algunos"
562 "Muchos"
563 "Todo"
564 "Cerrar"
565 "  -  "
566 "Atrás"
567 "Crear"
568 "Cargar"
569 "Suprimir"
570 "Aceptar"
571 "Cancelar"
572 "Introduce un nombre para esta partida:"
573 "Siguiente"
574 "[Ranura vacía]"
575 "Girar hacia arriba"
576 "Girar hacia abajo"
577 "Rango:"
578 "Puntos de habilidad:"
579 "Un solo jugador"
580 "Multijugador (Internet)."
581 "Opciones"
582 "Créditos"
583 "Salir"
584 "Partida nueva"
585 "Cargar partida"
586 "Guardar partida"
587 "Personalizar nivel"
588 "Pantalla"
589 "Sonido"
590 "Teclado"
591 "Ratón"
592 "Configurar joystick / mando"
593 "Restaurar la configuración predeterminada"
594 "Configurar controles"
595 "Instrucciones:"
596 "Objetivos:"
597 "Velocidad de giro normal"
598 "Velocidad de giro elevada"
599 "Velocidad para mirar arriba y abajo"
600 "Iniciar misión"
601 "Opacidad"
602 "Rojo"
603 "Verde"
604 "Azul"
605 "Estilo"
606 "Básico"
607 "Barra"
608 "Puntos cruzados"
609 "Envío"
610 "Punto"
611 "Esquina"
612 "Escala dinámica"
613 "Punto de mira"
