/*
LTJS
NOLF2 CRES
French strings
*/

100 "Connexion SCMD terminée."
101 "Administrateur déjà connecté au SCMD."
102 "Mot de passe SCMD incorrect."
103 "Déconnecté de SCMD."
104 "Non connecté au SCMD."
105 "Commandes SCMD."
106 "HELP - liste des commandes SCMD disponibles."
107 "LOGOUT - déconnexion de l'administrateur SCMD."
108 "LOGIN <mot de passe> - connexion en tant qu'administrateur SCMD."
109 "Format de la liste des clients : ClientId) [nom][ping][IP]"
110 "Aucun client."
111 "LISTCLIENTS - affiche la liste des clients."
113 "NEXTMISSION - lancer la mission suivante dans la liste des missions."
114 "NEXTROUND - Lancer la manche suivante pour ce niveau"
115 "Echec de la commande SCMD."
116 "BOOTNAME <nomdujoueur> - bannir le client en fonction du nom du joueur."
117 "BOOTID <clientid> - bannir le client d'après son ID client."
118 "Format de la liste des missions : mission_index) [mission][*]"
119 "Commande SCMD exécutée."
120 "LISTMISSIONS - liste toutes les missions dans la campagne en cours."
121 "SETMISSION <mission_index> - utilise la campagne mission_index."
122 "ADDBAN <IP> - ajoute cette IP à la liste noire (ex. : 123.456.789.012 ou 123.456.*)"
123 "REMOVEBAN <banid> - retire l'IP de la liste noire."
124 "LISTBANS - liste toutes les IP de la liste noire."
125 "Format de la liste noire : banid) [IP]"
126 "Aucune IP bannie"
127 "BANCLIENT <clientid> - bannir le client d'après l'ID client."
128 "Coopératif"
129 "Deathmatch"
130 "Limite de score"
131 "Limite de temps"
132 "Vitesse de course"
133 "Tir fraternel"
134 "Difficulté"
135 "Incrément de difficulté"
136 "Pas d'options de jeu disponibles."
137 "LISTGAMEOPTIONS - liste les options de jeu."
138 "Format de la liste des options de jeu : optionid) [option][valeur]"
139 "SETGAMEOPTION <optionid> <valeur> - paramètre les options d'après l'optionid."
140 "Deathmatch par équipe"
141 "Jugement dernier"
142 "Manches"
502 "UN JOUEUR"
503 "DIFFICULTE"
504 "OPTIONS"
505 "NOUVELLE PARTIE"
506 "CHARGER"
507 "ENREGISTRER"
508 "NIVEAUX PERSONNALISES"
509 "OPTIONS D'AFFICHAGE"
510 "RESOLUTION TEXTURES"
511 "PERFORMANCES"
512 "SON"
513 "CLAVIER"
514 "SOURIS"
515 "JOYSTICK"
516 "MISSION"
517 "Aucune carte n'est disponible pour ce mode de jeu."
518 "RESUME DE MISSION"
519 "PROFIL JOUEUR"
520 "JOUEUR"
521 "VISEUR"
522 "CONTROLES"
523 "CONFIGURER LES CONTROLES"
524 "MULTIJOUEUR"
525 "OPTIONS DE JEU"
526 "COMPETENCES"
527 "OBJECTIFS DE MISSION"
528 "OPTIONS DE JEU"
529 "EQUIPEMENT"
530 "OPTIONS D'AFFICHAGE AVANCEES"
531 "EFFETS SPECIAUX"
532 "REJOINDRE"
533 "HEBERGER PARTIE"
534 "MISSIONS"
535 "CONFIGURATION JOUEUR"
536 "JOUEUR"
537 "Liste des chapitres"
538 "RENSEIGNEMENTS"
539 "CAMPAGNE"
540 "SYSTEME"
541 "INVENTAIRE"
542 "Deathmatch par équipe"
543 "Multijoueur (LAN)"
544 "Jugement dernier NOLF2"
545 "Lancer une partie multijoueur en réseau local ou modifier les options multijoueur."
546 "EQUIPE"
547 "Rejouer un chapitre."
548 "Indiquez le nom de l'équipe."
549 "Rejouer au chapitre sélectionné."
550 "Appuyez sur F9 pour charger la partie en sauvegarde rapide.\nAppuyez sur une autre touche pour accéder à l'écran de chargement."
551 "Appuyez sur une touche pour continuer."
552 "Normal"
553 "Test des réglages"
554 "Personnaliser"
555 "On"
556 "Off"
557 "Oui"
558 "Non"
559 "Aucun"
560 "Peu"
561 "Quelques"
562 "Beaucoup"
563 "Tous"
564 "Fermer"
565 "   -   "
566 "Retour"
567 "Créer"
568 "Charger"
569 "Effacer"
570 "Ok"
571 "Annuler"
572 "Tapez un nom pour la partie:"
573 "Suivant"
574 "[Emplacement libre]"
575 "Molette haut"
576 "Molette bas"
577 "Classement:"
578 "Points de compétence:"
579 "Un joueur"
580 "Multijoueur (Internet)"
581 "Options"
582 "Crédits"
583 "Quitter"
584 "Nouvelle partie"
585 "Charger partie"
586 "Enregistrer"
587 "Niveau personnalisé"
588 "Affichage"
589 "Son"
590 "Clavier"
591 "Souris"
592 "Configurer joystick/gamepad"
593 "Par défaut"
594 "Configurer les contrôles"
595 "Briefing:"
596 "Objectifs:"
597 "Vitesse de rotation normale"
598 "Rotation rapide"
599 "Vitesse vue haut/bas"
600 "Lancer la mission"
601 "Opacité"
602 "Rouge"
603 "Vert"
604 "Bleu"
605 "Style"
606 "Standard"
607 "Croix"
608 "Point-croix"
609 "Barre"
610 "Point"
611 "Coin"
612 "Mise à l'échelle dynamique"
613 "Viseur"
614 "Profil"
615 "Choisir, créer et effacer des profils de joueur."
616 "56k"
617 "Câble"
618 "Nom de l'équipe"
619 "DSL (élevé)"
620 "T1"
621 "T3"
622 "Bande passante"
623 "Passe en revue les réglages de bande passante."
624 "Score:"
625 "Choisir une bande passante personnalisée."
626 "Bande passante (perso)"
627 "Profils:"
628 "Reprendre la partie"
629 "Continuer la partie"
630 "Modèle de l'équipe"
631 "Gamma"
632 "Mouvement de la tête"
633 "Mouvement des armes"
634 "Définir l'intensité du mouvement de la tête lorsque vous marchez."
635 "Définir l'intensité du mouvement simulé des armes quand vous marchez."
636 "Définir le temps d'affichage des messages d'objets trouvés."
637 "Durée des messages"
638 "Ignorer les sarcasmes"
639 "Activer/désactiver l'utilisation des sarcasmes audio."
640 "Sarcasmes audio"
641 "Activer/désactiver les sarcasmes audio."
642 "Renommer"
643 "Version:"
644 "Menu principal"
645 "Régler le niveau gamma de l'affichage."
646 "Lancer, charger ou enregistrer une partie à un joueur."
647 "Lancer une partie multijoueur sur Internet ou définir les options multijoueur."
648 "Définir les options d'affichage, de son, de jeu et de performances."
649 "Quitter le jeu."
650 "Commencer une nouvelle partie."
651 "Charger une partie enregistrée."
652 "Enregistrer la partie."
653 "Charger un niveau personnalisé."
654 "Créer un nouveau profil."
655 "Retour à l'écran précédent."
656 "Choisir le niveau de difficulté."
657 "Définir les options d'affichage."
658 "Définir les options audio."
659 "Définir la configuration du contrôleur."
660 "Choisir le périphérique de rendu."
661 "Définir la résolution et la profondeur des couleurs."
662 "Active/désactive l'anti-aliasing plein écran."
663 "Définir le niveau des détails des textures."
664 "Modifier les options d'affichage qui influent sur les performances."
665 "Recentre automatiquement la vue quand vous vous déplacez."
666 "Activer/désactiver le mode course par défaut."
667 "Activer/désactiver l'utilisation du viseur."
668 "Activer/désactiver les effets de sang."
669 "Détermine le niveau de détails des ombres des personnages."
670 "Indiquez le modèle utilisé pour l'équipe."
671 "Campagne"
672 "Equipe Bleue"
673 "Choisir la campagne multijoueur à héberger."
674 "Textures des détails"
675 "Activer/désactiver l'utilisation des textures des détails."
676 "Carte d'environnement"
677 "Activer/désactiver l'utilisation des cartes d'environnement."
678 "Lumières dynamiques"
679 "Active/désactive l'utilisation des lumières dynamiques."
680 "Triple tampon"
681 "Activer/désactiver le triple tampon."
682 "Appuyez sur Entrée ou cliquez pour définir un contrôle pour cette action."
683 "Affecter les actions aux touches du clavier et aux boutons de la souris et de la manette."
684 "Choisir les options de configuration de la souris."
685 "Choisir les options de configuration du joystick ou du gamepad."
686 "Définir les options de contrôles avancés."
687 "Redéfinir les contrôles par défaut."
688 "Activer/désactiver les effets sonores."
689 "Régler le volume des effets sonores."
690 "Définir la qualité des effets sonores. Cela peut influer sur les performances."
691 "Activer/désactiver la musique."
692 "Régler le volume de la musique."
693 "Charger le niveau personnalisé choisi."
694 "Activer/désactiver l'utilisation d'un joystick ou d'un gamepad."
695 "Activer/désactiver l'inversion sur cet axe."
696 "Définir la zone neutre pour cet axe."
697 "Passer du mode analogique au mode numérique."
698 "Définir la sensibilité du joystick sur cet axe."
699 "Activer/désactiver l'utilisation de la correction de centrage."
700 "Activer/désactiver l'inversion de la souris."
701 "Activer/désactiver l'utilisation de la souris pour piloter la vue."
702 "Définir la sensibilité de la souris."
703 "Détermine la sensibilité et la fluidité de la souris."
704 "Définir l'action associée à ce bouton."
705 "Choisir la vitesse normale de rotation au clavier."
706 "Activer le mode de rotation rapide pour les contrôles clavier."
707 "Définir la vitesse de la vue au clavier."
708 "Campagne par défaut"
709 "Définir les options du viseur."
