/*
LTJS
NOLF2 LAUNCHER
German strings
*/

1 "NO ONE LIVES FOREVER 2 "
2 "NOLF2.exe"
3 "Die auf Ihrem System zur Verfügung stehenden Anzeigeoptionen werden jetzt enumeriert. Dies kann je nach installierter Hardware einige Zeit dauern.\n\nWenn im Anzeige-Dialog nichts angezeigt wird, sollten Sie sicherstellen, dass DirectX richtig auf Ihrem System installiert ist."
4 "ACHTUNG! Das Verändern der erweiterten Optionen kann je nach Ihrer Systemkonfiguration dazu führen, dass das Spiel schlechter (oder gar nicht mehr) läuft."
5 "\\NOLF2.EXE"
6 "\\DATA\\GAME2.REZ"
7 "GAME"
8 "SETUP.EXE"
9 "NOLF2Svr.EXE"
10 "English"
11 "Bitte nehmen Sie die NO ONE LIVES FOREVER 2-CD Nr. 2 aus dem Laufwerk und ersetzen Sie sie durch die NO ONE LIVES FOREVER 2-CD Nr. 1."
12 "Bitte legen Sie die NO ONE LIVES FOREVER 2-CD Nr. 1 ins Laufwerk."
13 "FEHLER - Das Installationsprogramm konnte nicht gestartet werden. Bitte stellen Sie sicher, dass sich die NO ONE LIVES FOREVER 2-CD im Laufwerk befindet, und versuchen Sie es erneut."
14 "Keine Renderer gefunden. Dieses Problem tritt gewöhnlich auf, wenn DirectX nicht richtig installiert ist. Bitte stellen Sie sicher, dass DirectX installiert ist, und versuchen Sie es erneut."
15 "Hiermit schalten Sie alle Soundeffekte aus."
16 "Hiermit schalten Sie die Verwendung von DirectMusic aus. Einige Soundkarten können inkompatibel mit DirectMusic sein. Benutzen Sie diese Option nur zur Problembehebung."
17 "Hiermit verhindern Sie, dass die Logo- und Introfilme abgespielt werden."
18 "Hiermit schalten Sie alle atmosphärischen Nebel aus (aber nicht die Clipping-Nebel). Dies sollte keinen Einfluss auf die Leistung haben. Diese Option kann aber bei Karten nützlich sein, die Tabellennebel \"fast\" unterstützen."
19 "Hiermit schalten Sie alle Joysticks und Gamepads aus. Verwenden Sie diese Option, wenn Ihr Joystick beim Spielstart Probleme verursacht."
20 "Hiermit schalten Sie eine Funktion aus, die bei einigen Grafikkarten die Leistung verbessern kann, dafür aber mehr Speicher der Grafikkarte benötigt. Die meisten AGP-Grafikkarten profitieren davon, wenn diese Funktion eingeschaltet ist. Bei einigen PCI-Grafikkarten kann es dadurch aber zu Abstürzen kommen."
21 "Hiermit schalten Sie die Verwendung des Hardware-Cursors aus. Einige ältere Karten unterstützen keinen Hardware-Cursor."
22 "Hiermit schalten Sie die Verwendung des animierten Ladebildschirms aus. Benutzen Sie diese Option zur Problembehebung."
