/*
LTJS
NOLF2 LAUNCHER
Spanish strings
*/

1 "No One Lives Forever 2 "
2 "NOLF2.exe"
3 "Las opciones de pantalla disponibles en el sistema se enumerarán a continuación. Esto puede llevar algún tiempo en función del hardware instalado.\n\nSi no se muestra nada en el cuadro de diálogo de la pantalla, comprueba si DirectX se ha instalado correctamente en el sistema."
4 "ADVERTENCIA: si haces pequeños ajustes en las opciones avanzadas puedes empeorar el funcionamiento del juego (o hacer que deje de funcionar) dependiendo de la configuración del sistema. "
5 "\\NOLF2.EXE"
6 "\\DATA\\GAME2.REZ"
7 "GAME"
8 "SETUP.EXE"
9 "NOLF2Svr.EXE"
10 "English"
11 "Retira el CD-ROM 2 de No One Lives Forever de la unidad y sustitúyelo por el CD-ROM 1 de No One Lives Forever."
12 "Inserta el CD-ROM 1 de No One Lives Forever 2 en la unidad correspondiente."
13 "ERROR: no se puede ejecutar el programa de instalación. Asegúrate de que el CD-ROM de No One Lives Forever 2 se encuentra en la unidad y vuelve a intentarlo."
14 "No se ha encontrado ningún renderizador. Este problema normalmente se debe a que DirectX no está instalado correctamente. Comprueba si DirectX está instalado y vuelve a intentarlo."
15 "De este modo se desactivan todos los efectos de sonido."
16 "De este modo se desactiva el uso de DirectMusic. Algunas tarjetas de sonido pueden ser incompatibles con DirectMusic. Utiliza esta opción sólo para solucionar problemas."
17 "De este modo se desactivan el logotipo y las películas de introducción del juego."
18 "De este modo se desactiva toda la niebla atmosférica (no de planos recortados). No se debe producir ningún aumento ni disminución del rendimiento. No obstante, podría resultar útil en las tarjetas que \"casi\" admiten la niebla de tabla."
19 "De este modo se desactivan todos los joysticks y mandos. Utiliza esta opción si tienes problemas con el joystick al iniciar el juego."
20 "De este modo se desactiva una característica de algunas tarjetas gráficas que puede mejorar el rendimiento, aunque utiliza en cambio más memoria gráfica de la tarjeta. Con la mayoría de las tarjetas gráficas AGP, activar esta función produce una serie de ventajas. Sin embargo, con algunas tarjetas gráficas PCI puede provocar bloqueos."
21 "De este modo se desactiva el uso del cursor de hardware. Algunas tarjetas antiguas no admiten el cursor de hardware."
22 "De este modo se desactiva el uso de la pantalla de carga animada. Puedes utilizar esta opción para solucionar problemas."
23 "De este modo se restauran todas las opciones de configuración originales. Esto incluye el restablecimiento de la configuración clave, el nivel de detalle y las opciones de sonido. Esta opción es útil si has cambiado la configuración y quieres restaurar todos los valores. "
24 "Sólo para usuarios avanzados."
25 "ERROR: no se ha encontrado el archivo Game.rez. Asegúrate de que NOLF 2 está instalado correctamente y de que el disco 1 de No One Lives Forever 2 está insertado en la unidad correspondiente."
26 "ERROR: no se puede ejecutar LITHTECH.EXE. Asegúrate de que No One Lives Forever 2 se ha instalado correctamente."
27 "Para obtener la mejor experiencia de juego de No One Lives Forever 2, selecciona la configuración de rendimiento inicial que te gustaría utilizar. Puedes cambiar esta configuración más adelante en los menús de juego de No One Lives Forever 2."
28 "El nivel de detalle bajo proporciona el mejor rendimiento de juego sacrificando la calidad visual. Requisitos mínimos del sistema necesarios: Pentium III a 500 MHz, 128 MB de memoria Ram, tarjeta gráfica de 32 MB GeForce 1 o equivalente."
29 "El nivel de detalle medio proporcionará un buen equilibrio entre el rendimiento y la calidad visual. Requisitos del sistema recomendados: Pentium III a 1 GHz, 256 MB de memoria Ram, tarjeta gráfica de 64 MB GeForce 3 o equivalente."
30 "El nivel de detalle alto proporcionará la mejor calidad visual pero el rendimiento puede sufrir en sistemas de menor potencia. Requisitos recomendados: Pentium 4 a 2 GHz, 256 MB de memoria Ram, tarjeta gráfica de 128 MB GeForce 4 Ti o equivalente."
31 "ERROR: no se puede iniciar el servidor independiente. Comprueba si No One Lives Forever 2 se ha instalado correctamente en el equipo y vuelve a intentarlo."
32 "1.0"
33 "ERROR: no se puede desinstalar el juego. Si No One Lives Forever 2 todavía está instalado, prueba a utilizar la opción Agregar o quitar programas. Para volver a instalar el juego, ejecuta el programa Setup.exe del CD-ROM 1 de No One Lives Forever 2."
34 "http://www.lith.com"
35 "ERROR: no se puede abrir un archivo .avi"
36 "http://www.foxinteractive.com"
37 "Desactivar sonido"
38 "Desactivar música"
39 "Desactivar películas"
40 "No One Lives Forever 2 (Demo oficial)"
41 "Desactivar joysticks"
42 "Desactivar triple búfer"
43 "Desactivar cursor de hardware"
44 "Desactivar pantallas de carga animada"
45 "Restaurar configuración predeterminada"
46 "Siempre especificar argumentos de la línea de comandos al juego"
47 "ERROR: no se puede crear la clave de registro de No One Lives Forever 2."
48 "No One Lives Forever 2 se ha instalado correctamente."
49 "No One Lives Forever 2 se ha desinstalado correctamente."
50 "ERROR: no se puede iniciar el explorador web."
51 "Mueve el ratón sobre una opción para obtener ayuda."
52 "De este modo se desactiva el uso del soporte del hardware de sonido DirectSound 3D."
53 "De este modo se desactiva el uso de los efectos del filtro de sonido en el juego."
54 "Desactivar sonido de hardware"
55 "Desactivar filtros de sonido"
56 "ERROR: No se pudo abrir el archivo launchcmds.txt para escritura. Por favor, asegúrate de que se puede escribir en este archivo e inténtalo de nuevo. "
57 "http://www.lithtech.com"
58 "http://www.sierra.com"
59 "ERROR: no se ha encontrado ningún directorio personalizado."
