/*
LTJS
NOLF2 LAUNCHER
French strings
*/

1 "No One Lives Forever 2"
2 "NOLF2.exe"
3 "Les options d'affichage disponibles sur votre ordinateur vont être listées. Cela peut prendre un peu de temps en fonction de votre matériel.\n\nSi rien n'est indiqué, vérifiez que DirectX est correctement installé."
4 "Attention! Modifier les réglages des options avancées peut être à l'origine de dysfonctionnements du jeu plus graves qu'à l'origine, en fonction de la configuration de votre ordinateur."
5 "\\NOLF2.EXE"
6 "\\DATA\\GAME2.REZ"
7 "GAME"
8 "SETUP.EXE"
9 "NOLF2Svr.EXE"
10 "English"
11 "Veuillez retirer le CD 2 de No One Lives Forever de votre lecteur et replacer le CD 1 de No One Lives Forever."
12 "Veuillez insérer le CD 1 de No One Lives Forever 2 dans le lecteur."
13 "ERREUR - impossible de lancer le programme d'installation. Vérifiez que le CD de No One Lives Forever 2 est dans le lecteur."
14 "Aucun périphérique de rendu détecté. Ce problème est généralement lié au fait que DirectX n'est pas installé. Vérifiez que DirectX est installé et recommencez."
15 "Cette option désactive tous les effets sonores."
16 "Cette option désactive l'utilisation de DirectMusic. Certaines cartes sons sont incompatibles avec DirectMusic. N'utiliser qu'en cas de problème."
17 "Cette option permet de ne pas voir les films logo et d'introduction."
18 "Cette option désactive le brouillard atmosphérique (pas le clipping). Vous ne devriez pas voir de changements en termes de performances, mais cela peut aider sur des cartes graphiques qui gèrent \"presque\" le brouillard."
19 "Cela désactive tous les joysticks et gamepads. Utilisez cette option si votre joystick pose des problèmes au lancement du jeu."
20 "Cette option désactive une fonction de certaines cartes graphiques qui peut améliorer les performances, mais utilise pour cela plus de mémoire. La plupart des cartes graphiques AGP bénéficient de cette fonction. Mais cela peut engendrer des blocages avec certaines cartes graphiques PCI."
21 "Cette option désactive l'utilisation du curseur matériel. Certaines cartes anciennes ne sont pas compatibles avec le curseur matériel."
22 "Ceci va désactiver l'utilisation de l'écran de chargement animé. Utilisez cette option en cas de problèmes."
23 "Cette option permet de reconfigurer tous les paramètres à leur valeur par défaut. Cela comprend la configuration des touches, du niveau de détail et des options sonores. Cela peut être utile si vous avez modifié différentes choses mais voulez revenir aux paramètres originaux."
24 "Uniquement pour les utilisateurs avancés."
25 "ERREUR - impossible de trouver le fichier Game.rez. Vérifiez que NOLF 2 est correctement installé et que le CD 1 de No One Lives Forever 2 est dans votre lecteur."
26 "ERREUR - impossible de lancer LITHTECH.EXE. Vérifiez que No One Lives Forever 2 est correctement installé."
27 "Pour profiter pleinement de No One Lives Forever 2, choisissez le réglage de performances que vous souhaitez utiliser.  Vous pouvez changer ce réglage depuis les menus de No One Lives Forever 2."
28 "Des détails faibles offrent les meilleures performances au sacrifice de la qualité visuelle. Configuration recommandée: PIII 500 MHz, 128 Mo de Ram, GeForce 1 32 Mo ou équivalent."
29 "Des détails moyens offrent un bon compromis entre performances et qualité graphique. Configuration recommandée: PIII 1 GHz, 256 Mo de Ram, GeForce 3 64 Mo ou équivalent."
30 "Des détails élevés offrent une meilleure qualité visuelle, mais les performances du jeu peuvent s'en ressentir sur les ordinateurs les plus lents. Configuration recommandée: P4 2 GHz, 256 Mo de Ram, GeForce 4 Ti 128 Mo ou équivalent."
31 "ERREUR - impossible de lancer le serveur dédié. Vérifiez que No One Lives Forever 2 est correctement installé et recommencez."
32 "1.0"
33 "ERREUR - impossible de désinstaller le jeu. Si No One Lives Forever 2 est toujours installé, essayez d'utilisez Ajout/Suppression de programmes. Pour réinstaller le jeu, lancez Setup.exe depuis le CD 1 de No One Lives Forever 2."
34 "http://www.lith.com"
35 "ERREUR - impossible d'ouvrir un fichier .avi"
36 "http://www.foxinteractive.com"
37 "Désactiver son"
38 "Désactiver musique"
39 "Désactiver films"
40 "No One Lives Forever 2 (Démo officielle)"
41 "Désactiver joysticks"
42 "Désactiver triple tampon"
43 "Désactiver le curseur matériel"
44 "Désactiver écrans de chargement animés"
45 "Par défaut"
46 "Ajouter toujours les arguments de ligne de commande dans le jeu"
47 "ERREUR - impossible de créer la clé de registre de No One Lives Forever 2!"
48 "No One Lives Forever 2 a été installé avec succès!"
49 "No One Livers Forever 2 a été désinstallé avec succès!"
50 "ERREUR - impossible de lancer un navigateur web!"
51 "Placez le curseur sur une option pour obtenir de l'aide."
52 "Cela va désactiver l'utilisation de DirectSound 3D pour la gestion du matériel sonore."
53 "Cette option désactive l'utilisation des effets de filtrage des sons dans le jeu."
54 "Désactiver le son matériel"
55 "Désactiver filtres sonores"
56 "ERREUR - impossible d'ouvrir le fichier launchcmds.txt en écriture. Vérifiez que ce fichier n'est pas protégé en écriture et recommencez."
57 "http://www.lithtech.com"
58 "http://www.sierra.com"
59 "ERREUR - impossible de trouver des répertoires personnalisés."
