/*
LTJS
NOLF2 LAUNCHER
Italian strings
*/

1 "No One Lives Forever 2"
2 "NOLF2.exe"
3 "Ora verranno mostrate le opzioni di visualizzazione disponibili sul tuo sistema. Quest'operazione potrebbe richiedere un po' di tempo, a seconda dell'hardware installato.\n\nSe non dovesse apparire nulla nello spazio apposito, assicurati che DirectX sia installato correttamente."
4 "ATTENZIONE! La modifica delle opzioni avanzate può far sì che il gioco funzioni peggio (o per niente) a seconda della configurazione del tuo sistema."
5 "\\NOLF2.EXE"
6 "\\DATA\\GAME2.REZ"
7 "GAME"
8 "SETUP.EXE"
9 "NOLF2Svr.EXE"
10 "English"
11 "Please remove the No One Lives Forever Disc 2 from your drive and replace it with the No One Lives Forever Disc 1."
12 "Inserisci il CD 1 di No One Lives Forever 2 nel lettore."
13 "ERRORE: impossibile avviare il programma di configurazione. Assicurati che il CD di No One Lives Forever 2 sia nel lettore e riprova."
14 "Non sono stati trovati renderizzatori. Questo problema solitamente è dovuto a una installazione non corretta di DirectX. incorretta Controlla che l'installazione di DirectX sia corretta e riprova."
15 "Disabilita tutti gli effetti sonori."
16 "Disabilita l'uso del DirectMusic. Alcune schede sonore potrebbero essere incompatibili. Da usare solamente per la risoluzione di eventuali problemi."
17 "Disabilita la riproduzione del logo e dei filmati introduttivi."
18 "Viene disabilitata la nebbia atmosferica (non il clipping plane). Non ci dovrebbero essere cambiamenti nelle prestazioni. Potrebbe però essere utile con schede che supportano a malapena la nebbia."
19 "Disabilita tutti i joystick e i joypad. Da usare se il tuo joystick causa problemi all'avvio del gioco."
20 "Disabilita una funzione di alcune schede video che migliora le prestazioni, ma causa l'utilizzo di una maggiore quantità di memoria video. La maggior parte delle schede AGP traggono benefici da questa funzione, che può però causare problemi su qualche schede PCI."
21 "Disabilita l'uso di un cursore hardware. Alcune schede tra le più vecchie non supportano infatti il cursore hardware."
22 "Viene disabilitato l'uso di una schermata animata durante i caricamenti. Usa questa opzione per la risoluzione dei problemi."
23 "Riporta le impostazioni di configurazione ai valori originali. Include anche l'impostazione dei tasti, del livello di dettaglio e delle opzioni audio. È utile se hai cambiato impostazioni e vuoi tornare a quelle originali."
24 "Solo per utenti avanzati."
25 "ERRORE: impossibile trovare il file Game.rez. Assicurati che NOLF2 sia installato correttamente e che il CD 1 di No One Lives Forever 2 sia nel lettore."
26 "ERRORE: impossibile avviare LITHTECH.EXE. Assicurati che No One Lives Forever 2 sia installato correttamente."
27 "Per ottenere la massima funzionalità di gioco da No One Lives Forever 2, seleziona le impostazioni iniziali delle prestazioni che desideri usare. Le puoi cambiare in un secondo momento usando i menu di gioco di No One Lives Forever 2."
28 "La bassa risoluzione fornisce le migliori prestazioni di gioco, a discapito però della qualità visiva. I requisiti di sistema raccomandati sono: PIII 500 MHz, 128 MB di Ram, scheda video GeForce 1 con 32 MB o equivalente."
29 "La risoluzione media fornisce un accettabile compromesso tra grafica e prestazioni di gioco. I requisiti di sistema raccomandati sono: PIII 1 GHz, 256 MB di Ram, scheda video GeForce 3 con 6 4MB o equivalente."
30 "L'alta risoluzione fornisce la migliore qualità visiva, ma le prestazioni di gioco potrebbero risentirne sui sistemi più lenti. I requisiti di sistema raccomandati sono: P4 2 GHz, 256 MB di RAM, scheda video GeForce 4 Ti con 128 MB o equivalente."
31 "ERRORE: impossibile avviare il server indipendente. Assicurati che NOLF2 sia correttamente installato sul tuo computer e riprova."
32 "1.0"
33 "ERRORE: impossibile rimuovere il gioco. Se No One Lives Forever 2 risulta ancora installato, prova a usare la funzione Installazione applicazioni. Per installare nuovamente il gioco, avvia il programma Setup.exe dal CD 1 di One Lives Forever 2."
34 "http://www.lith.com"
35 "ERRORE: impossibile aprire un file .avi."
36 "http://www.foxinteractive.com"
37 "Disabilita audio"
38 "Disabilita musica"
39 "Disabilita filmati"
40 "No One Lives Forever 2 (Demo ufficiale)"
41 "Disabilita joystick"
42 "Disabilita triplo buffering"
43 "Disabilita cursore "
44 "Disabilita Schermi Caricamento Animati"
45 "Ripristina valori iniziali"
46 "Passa sempre gli argomenti della linea di comando al gioco"
47 "ERRORE: impossibile creare la chiave di registro di No One Lives Forever 2!"
48 "No One Lives Forever 2 è stato installato correttamente!"
49 "No One Livers Forever 2 è stato rimosso correttamente!"
50 "ERRORE: impossibile avviare un bowser di rete."
51 "Sposta il cursore su un'opzione per ottenere degli aiuti contestuali."
52 "Disabilita l'uso del supporto audio hardware del DirectSound 3D."
53 "Disabilita l'uso di filtri sonori durante il gioco."
54 "Disabilita DirectSound 3D"
55 "Disabilita filtri audio"
56 "ERRORE - impossibile aprire il file launchcmds.txt per la scrittura. Assicurarsi che il file sia scrivibile e riprovare."
57 "http://www.lithtech.com"
58 "http://www.sierra.com"
59 "ERRORE - Impossibile trovare directory personalizzate."
